Threshold,TP,FP,TN,FN,TPR,FPR,PPV
0,151,1111,0,0,1.00,1.00,.0.88
5,151,1111,0,0,1.00,1.00,.0.88
10,151,1111,0,0,1.00,1.00,.0.88
15,151,1111,0,0,1.00,1.00,.0.88
20,151,1111,0,0,1.00,1.00,.0.88
25,151,1111,0,0,1.00,1.00,.0.88
30,151,1111,0,0,1.00,1.00,.0.88
35,151,1111,0,0,1.00,1.00,.0.88
40,151,1111,0,0,1.00,1.00,.0.88
45,151,1111,0,0,1.00,1.00,.0.88
50,151,1111,0,0,1.00,1.00,.0.88
55,151,1111,0,0,1.00,1.00,.0.88
60,151,1111,0,0,1.00,1.00,.0.88
65,151,1111,0,0,1.00,1.00,.0.88
70,151,1111,0,0,1.00,1.00,.0.88
75,151,1111,0,0,1.00,1.00,.0.88
80,151,1111,0,0,1.00,1.00,.0.88
85,151,1111,0,0,1.00,1.00,.0.88
90,151,1111,0,0,1.00,1.00,.0.88
95,151,1111,0,0,1.00,1.00,.0.88
100,151,1111,0,0,1.00,1.00,.0.88
105,151,1111,0,0,1.00,1.00,.0.88
110,151,1110,1,0,1.00,1.00,.0.88
115,151,1107,4,0,1.00,1.00,.0.88
120,151,1101,10,0,1.00,0.99,.0.88
125,151,1094,17,0,1.00,0.98,.0.88
130,151,1073,38,0,1.00,0.97,.0.88
135,151,1047,64,0,1.00,0.94,.0.87
140,151,1010,101,0,1.00,0.91,.0.87
145,151,957,154,0,1.00,0.86,.0.86
150,151,889,222,0,1.00,0.80,.0.85
155,151,791,320,0,1.00,0.71,.0.84
160,151,675,436,0,1.00,0.61,.0.82
165,151,597,514,0,1.00,0.54,.0.80
170,151,535,576,0,1.00,0.48,.0.78
175,151,468,643,0,1.00,0.42,.0.76
180,151,386,725,0,1.00,0.35,.0.72
185,151,308,803,0,1.00,0.28,.0.67
190,151,231,880,0,1.00,0.21,.0.60
195,151,169,942,0,1.00,0.15,.0.53
200,151,124,987,0,1.00,0.11,.0.45
205,148,82,1029,3,0.98,0.07,.0.36
210,143,59,1052,8,0.95,0.05,.0.29
215,133,43,1068,18,0.88,0.04,.0.24
220,121,30,1081,30,0.80,0.03,.0.20
225,99,14,1097,52,0.66,0.01,.0.12
230,75,5,1106,76,0.50,0.00,.0.06
235,48,1,1110,103,0.32,0.00,.0.02
240,31,0,1111,120,0.21,0.00,.0.00
245,16,0,1111,135,0.11,0.00,.0.00
250,5,0,1111,146,0.03,0.00,.0.00
255,1,0,1111,150,0.01,0.00,.0.00
